 ,Label,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
334,processed,984.777,64855.855,1451.552,453.465,1451.551,453.467,134.403,35.820,35.004,84.368,0.685,1.023,0.977,0.869
335,processed,1197.134,64721.768,1276.497,458.919,1276.499,458.921,131.502,41.963,36.323,163.270,0.870,1.155,0.866,0.934
336,processed,1381.488,64761.853,1192.362,464.270,1192.365,464.268,139.773,42.556,41.333,9.901,0.889,1.030,0.971,0.940
337,processed,1344.151,64752.208,565.913,468.494,565.917,468.495,136.347,42.743,40.040,141.843,0.909,1.068,0.937,0.950
338,processed,1169.131,64784.707,1103.815,468.286,1103.817,468.286,128.817,39.656,37.537,130.149,0.885,1.056,0.947,0.944
339,processed,1250.807,64817.532,201.665,469.575,201.670,469.577,134.186,41.172,38.681,146.196,0.873,1.064,0.940,0.934
340,processed,1383.822,64713.968,472.729,470.235,472.728,470.237,141.933,42.250,41.703,89.955,0.863,1.013,0.987,0.935
341,processed,1610.180,64700.243,1013.809,471.385,1013.811,471.379,151.469,46.890,43.722,144.077,0.882,1.072,0.932,0.936
342,processed,1614.848,64715.382,744.370,474.268,744.367,474.273,152.735,46.144,44.558,139.992,0.870,1.036,0.966,0.936
343,processed,1164.464,64792.874,291.344,472.214,291.347,472.217,132.397,38.881,38.132,104.000,0.835,1.020,0.981,0.921
344,processed,1029.115,64796.018,381.544,470.960,381.540,470.959,120.546,37.764,34.697,109.516,0.890,1.088,0.919,0.938
345,processed,1358.152,64713.902,661.295,473.877,661.296,473.875,135.822,42.303,40.878,101.260,0.925,1.035,0.966,0.953
346,processed,1227.471,64803.428,112.070,473.597,112.066,473.595,131.502,40.207,38.870,113.536,0.892,1.034,0.967,0.948
347,processed,1267.142,64688.751,929.264,475.102,929.264,475.104,132.921,40.775,39.567,141.972,0.901,1.031,0.970,0.953
348,processed,1458.497,64714.461,838.156,480.788,838.155,480.792,142.674,44.670,41.572,164.359,0.900,1.075,0.931,0.944
349,processed,1309.147,64820.886,1411.342,480.728,1411.345,480.725,137.983,42.071,39.620,111.419,0.864,1.062,0.942,0.928
350,processed,2.334,64967.000,1308.399,463.630,1308.399,463.630,4.321,1.724,1.724,0.000,1.000,1.000,1.000,1.000
351,processed,1204.135,64767.393,1237.584,484.211,1237.582,484.214,129.866,39.674,38.644,158.538,0.897,1.027,0.974,0.952
352,processed,1122.459,64782.270,1325.933,486.906,1325.930,486.907,127.922,40.290,35.472,119.531,0.862,1.136,0.880,0.929
353,processed,632.404,64871.277,1500.821,483.726,1500.823,483.723,126.133,35.969,22.386,23.761,0.500,1.607,0.622,0.731
354,processed,1577.510,64772.753,520.391,494.684,520.392,494.681,151.469,46.799,42.918,134.884,0.864,1.090,0.917,0.934
355,processed,1563.508,64785.745,1150.444,492.265,1150.440,492.267,154.000,45.816,43.451,23.506,0.828,1.054,0.948,0.936
356,processed,1537.839,64852.005,63.959,497.506,63.957,497.504,154.154,46.130,42.446,128.451,0.813,1.087,0.920,0.906
357,processed,1563.508,64802.478,244.637,497.547,244.633,497.548,145.359,44.730,44.505,21.696,0.930,1.005,0.995,0.956
358,processed,1127.126,64752.737,336.762,494.919,336.762,494.914,126.810,39.666,36.180,138.957,0.881,1.096,0.912,0.941
359,processed,1463.164,64726.510,427.152,496.246,427.150,496.246,144.093,44.541,41.825,7.147,0.886,1.065,0.939,0.956
360,processed,1379.155,64751.599,614.894,495.542,614.890,495.539,139.402,42.263,41.549,104.455,0.892,1.017,0.983,0.951
361,processed,3176.022,64722.855,1040.634,509.233,1040.628,509.235,289.976,98.514,41.048,30.428,0.475,2.400,0.417,0.807
362,processed,1211.136,64800.669,153.919,496.122,153.922,496.120,130.978,40.748,37.844,176.588,0.887,1.077,0.929,0.928
363,processed,1388.489,64642.457,973.457,498.562,973.450,498.562,138.353,43.200,40.923,167.382,0.912,1.056,0.947,0.944
364,processed,1530.838,64681.206,701.502,504.594,701.506,504.592,146.995,44.768,43.539,103.703,0.890,1.028,0.973,0.941
365,processed,1236.805,64686.851,785.809,500.771,785.810,500.771,131.872,40.597,38.790,173.715,0.894,1.047,0.956,0.929
366,processed,1435.161,64726.171,885.899,503.040,885.896,503.037,143.569,43.655,41.858,160.049,0.875,1.043,0.959,0.936
367,processed,1421.159,64743.594,1284.612,505.322,1284.610,505.322,141.038,43.454,41.642,150.365,0.898,1.044,0.958,0.943
368,processed,907.768,64868.090,1457.484,503.034,1457.483,503.030,174.709,36.292,31.848,8.711,0.374,1.140,0.878,0.813
369,processed,1274.143,64831.877,1373.143,507.724,1373.141,507.724,134.928,41.652,38.948,25.006,0.879,1.069,0.935,0.933
370,processed,1171.465,64761.777,1198.228,510.867,1198.228,510.865,128.817,39.595,37.670,157.904,0.887,1.051,0.951,0.930
371,processed,44.338,64921.053,1498.868,499.649,1498.868,499.649,23.393,9.348,6.039,73.124,1.000,1.548,0.646,0.905
372,processed,1395.490,64747.878,293.835,518.764,293.833,518.765,143.723,42.784,41.529,51.536,0.849,1.030,0.971,0.936
373,processed,1561.175,64723.578,381.459,519.992,381.460,519.987,148.043,46.248,42.980,136.376,0.895,1.076,0.929,0.950
374,processed,1194.801,64708.883,472.455,516.902,472.453,516.904,130.607,40.674,37.402,157.608,0.880,1.087,0.920,0.937
375,processed,1411.825,64737.476,567.815,519.576,567.814,519.572,141.933,43.499,41.325,148.379,0.881,1.053,0.950,0.942
376,processed,1337.150,64754.438,1106.317,518.611,1106.316,518.615,138.878,43.252,39.362,1.194,0.871,1.099,0.910,0.934
377,processed,1374.487,64827.301,201.055,521.461,201.052,521.463,140.297,42.861,40.831,103.271,0.878,1.050,0.953,0.946
378,processed,1708.191,64688.225,931.114,524.158,931.114,524.158,155.419,47.942,45.366,145.651,0.889,1.057,0.946,0.946
379,processed,1106.124,64781.268,110.916,521.006,110.914,521.006,125.915,39.388,35.756,16.019,0.877,1.102,0.908,0.938
380,processed,1533.172,64711.595,656.941,526.269,656.942,526.273,149.309,44.518,43.850,71.911,0.864,1.015,0.985,0.939
381,processed,553.062,64908.907,22.956,522.988,22.953,522.988,100.208,29.467,23.897,52.960,0.692,1.233,0.811,0.786
382,processed,1316.147,64703.617,748.437,527.099,748.441,527.104,141.409,43.563,38.468,156.396,0.827,1.132,0.883,0.928
